Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regresstion,Firefox 60.0,ffasfsd,2018-07-04 17:38:12,2018-07-04 17:38:31,18.785s,INCOMPLETE
,,,,,,
Test Cases/login,Firefox 60.0,login to btp,2018-07-04 17:38:12,2018-07-04 17:38:31,18.285s,FAILED
openBrowser,Firefox 60.0,,2018-07-04 17:38:13,2018-07-04 17:38:20,7.565s,PASSED
navigateToUrl,Firefox 60.0,,2018-07-04 17:38:20,2018-07-04 17:38:21,1.096s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:21,2018-07-04 17:38:22,0.325s,PASSED
setText,Firefox 60.0,,2018-07-04 17:38:22,2018-07-04 17:38:22,0.094s,PASSED
setText,Firefox 60.0,,2018-07-04 17:38:22,2018-07-04 17:38:22,0.049s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:22,2018-07-04 17:38:22,0.318s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:22,2018-07-04 17:38:22,0.208s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:22,2018-07-04 17:38:23,0.245s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:23,2018-07-04 17:38:23,0.143s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:23,2018-07-04 17:38:23,0.175s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:23,2018-07-04 17:38:23,0.237s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:23,2018-07-04 17:38:23,0.224s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:23,2018-07-04 17:38:24,0.221s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:24,2018-07-04 17:38:24,0.222s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:24,2018-07-04 17:38:24,0.240s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:24,2018-07-04 17:38:24,0.220s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:24,2018-07-04 17:38:25,0.221s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:25,2018-07-04 17:38:25,0.251s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:25,2018-07-04 17:38:25,0.103s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:25,2018-07-04 17:38:25,0.200s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:25,2018-07-04 17:38:25,0.115s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:25,2018-07-04 17:38:25,0.164s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:25,2018-07-04 17:38:26,0.248s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:26,2018-07-04 17:38:26,0.131s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:26,2018-07-04 17:38:26,0.133s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:26,2018-07-04 17:38:26,0.222s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:26,2018-07-04 17:38:26,0.105s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:26,2018-07-04 17:38:26,0.125s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:26,2018-07-04 17:38:27,0.224s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:27,2018-07-04 17:38:27,0.101s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:27,2018-07-04 17:38:27,0.224s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:27,2018-07-04 17:38:27,0.122s,PASSED
click,Firefox 60.0,,2018-07-04 17:38:27,2018-07-04 17:38:31,3.783s,FAILED
